onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
4.5300000000	n/a	n/a	STATUS	n/a	n/a	S255
233.4520000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
236.9620000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
237.5640000000	n/a	n/a	FB: 0	n/a	n/a	S  9
239.7740000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
242.8740000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
243.4460000000	n/a	n/a	FB: +1	n/a	n/a	S  8
245.6320000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
248.4580000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
249.1280000000	n/a	n/a	FB: +1	n/a	n/a	S  8
251.2980000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
255.4600000000	n/a	n/a	Trn No Response	n/a	n/a	S105
256.0440000000	n/a	n/a	STATUS	n/a	n/a	S  7
258.2440000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
260.0500000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
260.6060000000	n/a	n/a	FB: +1	n/a	n/a	S  8
262.7760000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
265.9780000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
266.6220000000	n/a	n/a	FB: 0	n/a	n/a	S  9
268.7900000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
270.0260000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
270.5360000000	n/a	n/a	FB: 0	n/a	n/a	S  9
272.7060000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
273.9140000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
274.4680000000	n/a	n/a	FB: 0	n/a	n/a	S  9
276.6380000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
279.0820000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
279.7680000000	n/a	n/a	FB: 0	n/a	n/a	S  9
281.9360000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
284.9380000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
285.4320000000	n/a	n/a	FB: 0	n/a	n/a	S  9
287.6000000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
291.0120000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
291.6640000000	n/a	n/a	FB: +1	n/a	n/a	S  8
293.8320000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
295.8120000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
296.4460000000	n/a	n/a	FB: +1	n/a	n/a	S  8
298.6140000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
300.5800000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
301.1600000000	n/a	n/a	FB: +1	n/a	n/a	S  8
303.3300000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
305.0680000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
305.7100000000	n/a	n/a	FB: +1	n/a	n/a	S  8
307.8780000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
310.8760000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
311.4580000000	n/a	n/a	FB: 0	n/a	n/a	S  9
313.6260000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
314.9480000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
315.4900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
317.6580000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
321.8220000000	n/a	n/a	Trn No Response	n/a	n/a	S105
322.3200000000	n/a	n/a	STATUS	n/a	n/a	S  7
324.4900000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
325.8040000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
326.3520000000	n/a	n/a	FB: +1	n/a	n/a	S  8
328.5220000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
331.9560000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
332.5500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
