onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
21.2700000000	n/a	n/a	STATUS	n/a	n/a	S255
265.1880000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
266.1140000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
266.7380000000	n/a	n/a	FB: 0	n/a	n/a	S  9
268.9480000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
269.6280000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
270.3220000000	n/a	n/a	FB: +1	n/a	n/a	S  8
272.5080000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
273.8120000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
274.3540000000	n/a	n/a	FB: +1	n/a	n/a	S  8
276.5240000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
278.4760000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
279.0700000000	n/a	n/a	FB: +1	n/a	n/a	S  8
281.2540000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
282.6600000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
283.3340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
285.5020000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
286.5400000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
287.0820000000	n/a	n/a	FB: +1	n/a	n/a	S  8
289.2500000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
290.0040000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
290.4980000000	n/a	n/a	FB: +1	n/a	n/a	S  8
292.6660000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
294.0760000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
294.6640000000	n/a	n/a	FB: +1	n/a	n/a	S  8
296.8320000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
298.0200000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
298.5280000000	n/a	n/a	FB: +1	n/a	n/a	S  8
300.6980000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
301.5480000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
302.2100000000	n/a	n/a	FB: +1	n/a	n/a	S  8
304.3800000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
305.1560000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
305.8260000000	n/a	n/a	FB: +1	n/a	n/a	S  8
307.9960000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
309.4280000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
310.1080000000	n/a	n/a	FB: +1	n/a	n/a	S  8
312.2780000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
313.6200000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
314.1900000000	n/a	n/a	FB: 0	n/a	n/a	S  9
316.3600000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
317.8040000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
318.4220000000	n/a	n/a	FB: +1	n/a	n/a	S  8
320.5920000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
321.8440000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
322.3380000000	n/a	n/a	FB: 0	n/a	n/a	S  9
324.5060000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
325.7960000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
326.4200000000	n/a	n/a	FB: +1	n/a	n/a	S  8
328.6060000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
330.0200000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
330.6520000000	n/a	n/a	FB: +1	n/a	n/a	S  8
332.8200000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
334.2680000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
334.9340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
337.1020000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
338.2200000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
338.9000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
341.0680000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
342.6200000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
343.2140000000	n/a	n/a	FB: 0	n/a	n/a	S  9
345.3840000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
347.3800000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
347.8960000000	n/a	n/a	FB: +1	n/a	n/a	S  8
350.0660000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
351.3080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
351.8620000000	n/a	n/a	FB: 0	n/a	n/a	S  9
354.0300000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
355.1000000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
355.6440000000	n/a	n/a	FB: +1	n/a	n/a	S  8
357.8120000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
359.3960000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
359.9420000000	n/a	n/a	FB: 0	n/a	n/a	S  9
362.1120000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
363.8840000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
364.5580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
366.7260000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
367.7560000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
368.4400000000	n/a	n/a	FB: 0	n/a	n/a	S  9
370.6080000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
371.9080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
372.4880000000	n/a	n/a	FB: 0	n/a	n/a	S  9
374.6580000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
375.7880000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
376.4380000000	n/a	n/a	FB: +1	n/a	n/a	S  8
378.6060000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
379.6280000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
380.2200000000	n/a	n/a	FB: +1	n/a	n/a	S  8
382.3880000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
383.3960000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
384.0180000000	n/a	n/a	FB: 0	n/a	n/a	S  9
386.1880000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
387.4540000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
388.1340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
390.3020000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
391.7580000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
392.3320000000	n/a	n/a	FB: 0	n/a	n/a	S  9
394.5020000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
395.3580000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
395.9480000000	n/a	n/a	FB: +1	n/a	n/a	S  8
398.1160000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
399.2220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
399.8300000000	n/a	n/a	FB: 0	n/a	n/a	S  9
402.0000000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
403.0700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
403.5620000000	n/a	n/a	FB: +1	n/a	n/a	S  8
405.7320000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
406.8780000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
407.5620000000	n/a	n/a	FB: +1	n/a	n/a	S  8
409.7320000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
410.9580000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
411.4620000000	n/a	n/a	FB: +1	n/a	n/a	S  8
413.6300000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
414.7900000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
415.2920000000	n/a	n/a	FB: 0	n/a	n/a	S  9
417.4600000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
418.8060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
419.3740000000	n/a	n/a	FB: 0	n/a	n/a	S  9
421.5420000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
423.1260000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
423.7060000000	n/a	n/a	FB: 0	n/a	n/a	S  9
425.8740000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
426.6860000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
427.3560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
429.5240000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
430.6460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
431.1880000000	n/a	n/a	FB: 0	n/a	n/a	S  9
433.3560000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
434.1580000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
434.7520000000	n/a	n/a	FB: +1	n/a	n/a	S  8
436.9220000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
437.9500000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
438.6340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
440.8040000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
443.3740000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
443.9840000000	n/a	n/a	FB: 0	n/a	n/a	S  9
446.1520000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
447.2620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
447.8160000000	n/a	n/a	FB: +1	n/a	n/a	S  8
449.9840000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
451.2620000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
451.8980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
454.0660000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
455.2220000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
455.8120000000	n/a	n/a	FB: +1	n/a	n/a	S  8
457.9820000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
458.9180000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
459.5620000000	n/a	n/a	FB: +1	n/a	n/a	S  8
461.7300000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
462.9020000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
463.4940000000	n/a	n/a	FB: +1	n/a	n/a	S  8
465.6620000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
466.6060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
467.2600000000	n/a	n/a	FB: 0	n/a	n/a	S  9
469.4280000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
470.7260000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
471.3920000000	n/a	n/a	FB: +1	n/a	n/a	S  8
473.5760000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
474.8780000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
475.4740000000	n/a	n/a	FB: 0	n/a	n/a	S  9
477.6420000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
478.9820000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
479.4880000000	n/a	n/a	FB: 0	n/a	n/a	S  9
481.6580000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
482.6780000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
483.3700000000	n/a	n/a	FB: +1	n/a	n/a	S  8
485.5400000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
486.7900000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
487.4020000000	n/a	n/a	FB: 0	n/a	n/a	S  9
489.5760000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
492.8860000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
493.5180000000	n/a	n/a	FB: +1	n/a	n/a	S  8
495.6860000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
499.4060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
500.0320000000	n/a	n/a	FB: +1	n/a	n/a	S  8
502.2020000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
503.8060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
504.4480000000	n/a	n/a	FB: +1	n/a	n/a	S  8
506.6160000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
508.1340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
508.7960000000	n/a	n/a	FB: 0	n/a	n/a	S  9
514.4800000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
515.8720000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
516.4280000000	n/a	n/a	FB: +1	n/a	n/a	S  8
518.5960000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
519.8560000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
520.4260000000	n/a	n/a	FB: 0	n/a	n/a	S  9
522.5940000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
523.5520000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
524.1580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
526.3260000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
527.7120000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
528.2060000000	n/a	n/a	FB: +1	n/a	n/a	S  8
530.3760000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
531.4400000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
