onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
170.8260000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
171.5760000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
172.0200000000	n/a	n/a	FB: +1	n/a	n/a	S  8
174.0440000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
174.8920000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
175.4160000000	n/a	n/a	FB: 0	n/a	n/a	S  9
177.4380000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
178.3640000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
178.7280000000	n/a	n/a	FB: 0	n/a	n/a	S  9
180.7500000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
181.6060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
182.0240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
184.0460000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
184.8620000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
185.3700000000	n/a	n/a	FB: +1	n/a	n/a	S  8
187.3920000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
188.3420000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
188.7160000000	n/a	n/a	FB: 0	n/a	n/a	S  9
190.7380000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
191.4620000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
191.7780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
193.8000000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
194.7820000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
195.1920000000	n/a	n/a	FB: +1	n/a	n/a	S  8
197.2140000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
197.9100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
198.2540000000	n/a	n/a	FB: +1	n/a	n/a	S  8
200.2740000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
201.1180000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
201.6160000000	n/a	n/a	FB: +1	n/a	n/a	S  8
203.6360000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
204.2380000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
204.7440000000	n/a	n/a	FB: 0	n/a	n/a	S  9
206.7680000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
207.5020000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
208.0240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
210.0460000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
210.7660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
211.1700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
213.1920000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
213.9180000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
214.3660000000	n/a	n/a	FB: +1	n/a	n/a	S  8
216.3860000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
217.1980000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
217.5100000000	n/a	n/a	FB: 0	n/a	n/a	S  9
219.5320000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
220.2300000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
220.6900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
222.7100000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
223.4060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
223.8680000000	n/a	n/a	FB: +1	n/a	n/a	S  8
225.8880000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
226.7260000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
