onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
17.1060000000	n/a	n/a	STATUS	n/a	n/a	S255
262.6240000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
263.7300000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
264.2680000000	n/a	n/a	FB: +1	n/a	n/a	S  8
266.4780000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
267.4660000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
267.9680000000	n/a	n/a	FB: 0	n/a	n/a	S  9
270.1540000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
270.9460000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
271.6180000000	n/a	n/a	FB: 0	n/a	n/a	S  9
273.7860000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
275.6980000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
276.3660000000	n/a	n/a	FB: +1	n/a	n/a	S  8
278.5500000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
279.2580000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
279.8640000000	n/a	n/a	FB: 0	n/a	n/a	S  9
282.0320000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
283.9320000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
284.5460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
286.7140000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
287.4200000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
288.0440000000	n/a	n/a	FB: +1	n/a	n/a	S  8
290.2120000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
291.3640000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
291.9760000000	n/a	n/a	FB: 0	n/a	n/a	S  9
294.1460000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
295.3640000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
295.9920000000	n/a	n/a	FB: +1	n/a	n/a	S  8
298.1600000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
299.2680000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
299.7740000000	n/a	n/a	FB: +1	n/a	n/a	S  8
301.9420000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
303.0360000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
303.6060000000	n/a	n/a	FB: 0	n/a	n/a	S  9
305.7740000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
307.0520000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
307.6220000000	n/a	n/a	FB: 0	n/a	n/a	S  9
309.7900000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
310.3960000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
311.0380000000	n/a	n/a	FB: 0	n/a	n/a	S  9
313.2060000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
314.6440000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
315.2200000000	n/a	n/a	FB: 0	n/a	n/a	S  9
317.3880000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
318.5480000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
319.0340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
321.2040000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
322.0040000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
322.5500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
324.7180000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
325.7640000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
326.3160000000	n/a	n/a	FB: +1	n/a	n/a	S  8
328.4840000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
329.7320000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
330.2820000000	n/a	n/a	FB: 0	n/a	n/a	S  9
332.4500000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
333.1160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
333.5960000000	n/a	n/a	FB: 0	n/a	n/a	S  9
335.7660000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
337.0840000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
337.7120000000	n/a	n/a	FB: +1	n/a	n/a	S  8
339.8800000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
341.2360000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
341.7940000000	n/a	n/a	FB: +1	n/a	n/a	S  8
343.9620000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
345.0280000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
345.6920000000	n/a	n/a	FB: +1	n/a	n/a	S  8
347.8620000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
348.9800000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
349.4920000000	n/a	n/a	FB: 0	n/a	n/a	S  9
351.6600000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
353.0280000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
353.5240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
355.6920000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
356.3880000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
357.0720000000	n/a	n/a	FB: +1	n/a	n/a	S  8
359.2420000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
360.1400000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
360.7720000000	n/a	n/a	FB: +1	n/a	n/a	S  8
362.9400000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
364.2040000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
364.8040000000	n/a	n/a	FB: +1	n/a	n/a	S  8
366.9720000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
368.4760000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
368.9700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
371.1380000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
372.0920000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
372.7840000000	n/a	n/a	FB: +1	n/a	n/a	S  8
374.9540000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
376.4440000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
377.1000000000	n/a	n/a	FB: 0	n/a	n/a	S  9
379.2680000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
380.8440000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
381.4660000000	n/a	n/a	FB: +1	n/a	n/a	S  8
383.6340000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
