onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
41.3800000000	n/a	n/a	STATUS	n/a	n/a	S255
232.0920000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
233.4560000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
234.0040000000	n/a	n/a	FB: 0	n/a	n/a	S  9
236.2140000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
237.4660000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
238.0040000000	n/a	n/a	FB: 0	n/a	n/a	S  9
240.1900000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
241.8180000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
242.3360000000	n/a	n/a	FB: +1	n/a	n/a	S  8
244.5040000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
245.6900000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
246.2180000000	n/a	n/a	FB: 0	n/a	n/a	S  9
248.4020000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
249.8900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
250.5320000000	n/a	n/a	FB: +1	n/a	n/a	S  8
252.7000000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
254.0500000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
254.5640000000	n/a	n/a	FB: +1	n/a	n/a	S  8
256.7340000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
258.1300000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
258.7800000000	n/a	n/a	FB: +1	n/a	n/a	S  8
260.9480000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
262.2340000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
262.7780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
264.9460000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
265.9300000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
266.5600000000	n/a	n/a	FB: +1	n/a	n/a	S  8
268.7300000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
270.2100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
270.7600000000	n/a	n/a	FB: 0	n/a	n/a	S  9
272.9280000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
273.7380000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
274.3580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
276.5260000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
278.4180000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
278.9400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
281.1080000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
282.9300000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
283.4560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
285.6240000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
287.4980000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
288.1200000000	n/a	n/a	FB: +1	n/a	n/a	S  8
290.2880000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
291.2980000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
291.7860000000	n/a	n/a	FB: +1	n/a	n/a	S  8
293.9540000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
