onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
15.2120000000	n/a	n/a	STATUS	n/a	n/a	S255
224.6880000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
226.0140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
226.6340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
228.8420000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
230.2060000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
230.9000000000	n/a	n/a	FB: 0	n/a	n/a	S  9
233.0860000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
234.3020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
234.8480000000	n/a	n/a	FB: +1	n/a	n/a	S  8
237.0180000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
238.3680000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
238.9640000000	n/a	n/a	FB: +1	n/a	n/a	S  8
241.1480000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
242.4080000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
243.0780000000	n/a	n/a	FB: +1	n/a	n/a	S  8
245.2460000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
246.2400000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
246.7940000000	n/a	n/a	FB: +1	n/a	n/a	S  8
248.9620000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
250.1440000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
250.6260000000	n/a	n/a	FB: +1	n/a	n/a	S  8
252.7960000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
254.6480000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
255.2400000000	n/a	n/a	FB: 0	n/a	n/a	S  9
257.4100000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
258.7040000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
259.2240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
261.3920000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
262.2960000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
262.9560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
265.1240000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
266.0960000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
266.7700000000	n/a	n/a	FB: +1	n/a	n/a	S  8
268.9400000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
270.1040000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
270.7860000000	n/a	n/a	FB: +1	n/a	n/a	S  8
272.9540000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
274.1920000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
274.7520000000	n/a	n/a	FB: 0	n/a	n/a	S  9
276.9200000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
278.8080000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
279.4340000000	n/a	n/a	FB: 0	n/a	n/a	S  9
281.6020000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
282.5280000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
283.0160000000	n/a	n/a	FB: 0	n/a	n/a	S  9
285.1840000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
286.0800000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
286.7140000000	n/a	n/a	FB: +1	n/a	n/a	S  8
288.8840000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
289.9840000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
290.6140000000	n/a	n/a	FB: +1	n/a	n/a	S  8
292.7820000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
294.1200000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
294.7780000000	n/a	n/a	FB: +1	n/a	n/a	S  8
296.9480000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
298.2640000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
298.9440000000	n/a	n/a	FB: +1	n/a	n/a	S  8
301.1120000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
302.4880000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
303.0760000000	n/a	n/a	FB: 0	n/a	n/a	S  9
305.2440000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
306.3120000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
306.8240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
308.9940000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
310.4960000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
311.0400000000	n/a	n/a	FB: 0	n/a	n/a	S  9
313.2080000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
314.5280000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
315.0720000000	n/a	n/a	FB: +1	n/a	n/a	S  8
317.2400000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
