onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
221.3060000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
222.7760000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
223.2220000000	n/a	n/a	FB: 0	n/a	n/a	S  9
225.2500000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
228.5340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
229.0460000000	n/a	n/a	FB: +1	n/a	n/a	S  8
231.0680000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
235.0700000000	n/a	n/a	Trn No Response	n/a	n/a	S105
235.4360000000	n/a	n/a	STATUS	n/a	n/a	S  7
237.4580000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
238.3020000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
238.7320000000	n/a	n/a	FB: +1	n/a	n/a	S  8
240.7540000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
242.9520000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
243.4500000000	n/a	n/a	FB: 0	n/a	n/a	S  9
245.4720000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
247.1760000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
247.5500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
249.5700000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
250.8960000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
251.2140000000	n/a	n/a	FB: +1	n/a	n/a	S  8
253.2360000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
255.8080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
256.2320000000	n/a	n/a	FB: +1	n/a	n/a	S  8
258.2540000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
260.6160000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
260.9680000000	n/a	n/a	FB: 0	n/a	n/a	S  9
262.9880000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
265.7760000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
266.2720000000	n/a	n/a	FB: +1	n/a	n/a	S  8
268.2920000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
269.7760000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
270.2860000000	n/a	n/a	FB: +1	n/a	n/a	S  8
272.3080000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
274.0000000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
274.5200000000	n/a	n/a	FB: +1	n/a	n/a	S  8
276.5420000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
277.8080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
278.2000000000	n/a	n/a	FB: 0	n/a	n/a	S  9
280.2220000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
282.1680000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
282.6180000000	n/a	n/a	FB: +1	n/a	n/a	S  8
284.6380000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
285.9520000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
286.2640000000	n/a	n/a	FB: 0	n/a	n/a	S  9
288.2860000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
289.7520000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
290.2120000000	n/a	n/a	FB: +1	n/a	n/a	S  8
292.2340000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
294.0400000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
294.4960000000	n/a	n/a	FB: 0	n/a	n/a	S  9
296.5180000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
298.4160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
298.8960000000	n/a	n/a	FB: 0	n/a	n/a	S  9
300.9180000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
301.9600000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
302.4600000000	n/a	n/a	FB: +1	n/a	n/a	S  8
304.4800000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
305.7140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
306.1240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
308.1460000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
309.6980000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
310.0380000000	n/a	n/a	FB: +1	n/a	n/a	S  8
312.0620000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
313.7380000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
314.1220000000	n/a	n/a	FB: 0	n/a	n/a	S  9
