onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
19.9380000000	n/a	n/a	STATUS	n/a	n/a	S255
269.3160000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
271.2560000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
271.8660000000	n/a	n/a	FB: +1	n/a	n/a	S  8
274.0740000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
276.6800000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
277.3660000000	n/a	n/a	FB: 0	n/a	n/a	S  9
279.5520000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
282.5140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
283.0460000000	n/a	n/a	FB: +1	n/a	n/a	S  8
285.2160000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
286.8180000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
287.4120000000	n/a	n/a	FB: +1	n/a	n/a	S  8
289.5980000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
291.0020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
291.6760000000	n/a	n/a	FB: +1	n/a	n/a	S  8
293.8440000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
296.4100000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
296.9580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
299.1260000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
300.2500000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
300.7400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
302.9080000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
305.6500000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
306.2380000000	n/a	n/a	FB: +1	n/a	n/a	S  8
308.4080000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
309.7860000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
310.3040000000	n/a	n/a	FB: +1	n/a	n/a	S  8
312.4720000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
314.5220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
315.1860000000	n/a	n/a	FB: +1	n/a	n/a	S  8
317.3540000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
319.2260000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
319.9000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
322.0700000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
324.0740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
324.7660000000	n/a	n/a	FB: +1	n/a	n/a	S  8
326.9340000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
