onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
25.7500000000	n/a	n/a	STATUS	n/a	n/a	S255
260.2380000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
261.3680000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
261.9020000000	n/a	n/a	FB: 0	n/a	n/a	S  9
264.1120000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
265.1700000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
265.6520000000	n/a	n/a	FB: +1	n/a	n/a	S  8
267.8380000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
268.9380000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
269.6020000000	n/a	n/a	FB: 0	n/a	n/a	S  9
271.7700000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
272.6100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
273.3000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
275.4840000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
276.7540000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
277.3480000000	n/a	n/a	FB: 0	n/a	n/a	S  9
279.5160000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
281.0500000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
281.6460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
283.8160000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
284.9460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
285.5620000000	n/a	n/a	FB: +1	n/a	n/a	S  8
287.7300000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
288.8980000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
289.4940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
291.6620000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
292.7220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
293.3420000000	n/a	n/a	FB: +1	n/a	n/a	S  8
295.5120000000	n/a	n/a	Trn Stim: EF	n/a	n/a	S134
296.5700000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
297.0740000000	n/a	n/a	FB: 0	n/a	n/a	S  9
299.2440000000	n/a	n/a	Trn Stim: BA	n/a	n/a	S161
300.2500000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
300.8240000000	n/a	n/a	FB: 0	n/a	n/a	S  9
302.9920000000	n/a	n/a	Trn Stim: CD	n/a	n/a	S125
304.1220000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
304.6900000000	n/a	n/a	FB: 0	n/a	n/a	S  9
306.8580000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
307.7940000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
308.4380000000	n/a	n/a	FB: +1	n/a	n/a	S  8
310.6060000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
311.6820000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
312.3700000000	n/a	n/a	FB: +1	n/a	n/a	S  8
314.5400000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
315.6820000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
316.4020000000	n/a	n/a	FB: +1	n/a	n/a	S  8
318.5700000000	n/a	n/a	Trn Stim: AB	n/a	n/a	S116
319.6180000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
320.1520000000	n/a	n/a	FB: 0	n/a	n/a	S  9
322.3200000000	n/a	n/a	Trn Stim: DC	n/a	n/a	S152
323.3060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
323.8500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
326.0180000000	n/a	n/a	Trn Stim: FE	n/a	n/a	S143
326.9220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
